filename|commit_id|MI|LOC|LLOC|SLOC|multi|blank|single_comments|halstead_volume|cyclomatic_complexity
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/certificates.py|nova-fffcaea176b785c9715a180f6a629708db16536c|77.6272948749|66|63|84|0|23|18|4.75488750216|2
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/cloudpipe.py|nova-fffcaea176b785c9715a180f6a629708db16536c|62.2688919327|121|124|161|10|25|30|87.5684250303|17
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/cloudpipe_update.py|nova-fffcaea176b785c9715a180f6a629708db16536c|81.6881179737|40|41|58|0|18|18|13.9315685693|4
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/config_drive.py|nova-fffcaea176b785c9715a180f6a629708db16536c|77.6874623732|47|49|66|0|18|19|27.0|6
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/console_output.py|nova-fffcaea176b785c9715a180f6a629708db16536c|82.5144999408|51|49|70|0|18|19|4.75488750216|6
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/consoles.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|57|56|77|0|19|20|0|5
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/coverage_ext.py|nova-fffcaea176b785c9715a180f6a629708db16536c|44.9805876763|218|207|247|0|27|29|363.559738565|31
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/createserverext.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|11|10|26|0|6|15|0|1
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/deferred_delete.py|nova-fffcaea176b785c9715a180f6a629708db16536c|100.0|49|49|67|0|13|18|0|4
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/disk_config.py|nova-fffcaea176b785c9715a180f6a629708db16536c|51.4978472696|132|136|150|0|37|18|296.938841841|22
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/evacuate.py|nova-fffcaea176b785c9715a180f6a629708db16536c|72.9422398692|60|60|80|4|18|16|46.6045125094|10
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/extended_availability_zone.py|nova-fffcaea176b785c9715a180f6a629708db16536c|69.6976705781|68|65|85|0|21|17|59.794705708|5
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/extended_server_attributes.py|nova-fffcaea176b785c9715a180f6a629708db16536c|66.3078179239|79|76|100|0|22|21|125.097750043|7
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/extended_status.py|nova-fffcaea176b785c9715a180f6a629708db16536c|71.9741038764|62|60|83|0|18|21|72.6480639914|5
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/fixed_ips.py|nova-fffcaea176b785c9715a180f6a629708db16536c|70.6470731458|62|63|79|0|19|17|53.7744375108|7
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/flavor_access.py|nova-fffcaea176b785c9715a180f6a629708db16536c|57.3357575119|143|143|168|0|56|25|70.324030721|14
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/flavor_disabled.py|nova-fffcaea176b785c9715a180f6a629708db16536c|72.0203332459|54|54|69|0|20|15|59.2070354903|5
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/flavor_rxtx.py|nova-fffcaea176b785c9715a180f6a629708db16536c|74.9858161828|51|52|67|0|20|16|31.6992500144|6
nova-fffcaea176b785c9715a180f6a629708db16536c/nova/api/openstack/compute/contrib/flavor_swap.py|nova-fffcaea176b785c9715a180f6a629708db16536c|74.9858161828|51|52|67|0|20|16|31.6992500144|6
