id,label,lines_of_code_added_sum,lcc_wt_mu_inter_commit_time,lines_of_code_added_avg,lcc_std_spatial_inter,ego_lines_of_code_removed_sum,s_wt_n_com_code,s_wt_sum_joint_commit,nbc_wt_std_inter_commit_time,nbc_wt_mu_inter_commit_time,lcc_wt_mean_joint_commit,lcc_wt_hm_diff_first_commit_time,nbc_wt_hm_diff_first_commit_time,lcc_diff_90_10_spatial,s_wt_hsum_diff_last_commit_time,neigh_lines_of_code_removed_mean,tenure_committer,avg_hv_committer,ego_total_num_committs,triangle,lcc_mean_spatial_inter,s_diff_90_10_temporal,neigh_lines_of_code_added_avg,lcc_wt_hsum_diff_first_commit_time,neigh_lines_of_code_removed_sum,neigh_lines_of_code_added_sum,nbc_wt_hsum_diff_last_commit_time,lines_of_code_removed_mean,nbc_wt_hsum_diff_first_commit_time,s_median_spatial_inter,s_mean_spatial_inter,ego_lines_of_code_removed_mean,nbc_wt_n_com_code,nbc_diff_90_10_spatial,nbc_wt_sum_joint_commit,lcc_wt_sum_joint_commit,nbc_median_spatial_inter,s_wt_mean_joint_commit,s_wt_hm_diff_last_commit_time,ego_lines_of_code_added_avg,nbc_diff_90_10_temporal,nbc_wt_hm_diff_last_commit_time,nbc_wt_mean_joint_commit,s_wt_mu_inter_commit_time,lcc_wt_n_com_code,ego_lines_of_code_added_sum,neigh_total_num_committs,lines_of_code_removed_sum,kshell_index,s_std_spatial_inter,avg_cc_committer,s_wt_hm_diff_first_commit_time,lcc_wt_hm_diff_last_commit_time,s_diff_90_10_spatial,avg_mi_committer,nbc_std_spatial_inter,lcc_wt_std_inter_commit_time,s_wt_std_inter_commit_time,nbc_mean_spatial_inter,total_num_committs,s_wt_hsum_diff_first_commit_time,lcc_median_spatial_inter,lcc_wt_hsum_diff_last_commit_time
240,Boden_R,9.0,0.0,2.25,0.0,1730.66666667,2.0,16.0,3.17324891658E-5,0.0,0.132976153815,2.4888803073E-4,0.0,0.056324223526,0.0519740952143,2591.5,1.22319444444,5559.59244647,142.0,1.0,0.0489781891467,19.0258796296,17.3268808879,2.84611036991E-6,2591.5,3678.0,0.0,9.0,0.0,9.0,13.1666666667,1730.66666667,9.25089611554E-6,0.0,0.0,4.969804052E-5,0.0,8.0,0.0259870476072,12.3012539252,0.0,0.0,0.0,2.11398662551,0.0611789359721,2455.0,211.0,9.0,2,0.166666666667,237.75,0.0275665129584,1.17503388184E-4,31.7,28.9472430777,0.0,0.0,0.0,0.0,4.0,0.0551330259168,0.063156661535,3.87392193589E-5
241,Dave_McCowan,24.0,0.0561906575231,12.0,0.0018198837862,1360.6,10.0,1290.0,1.55211527684E33,1.30355563087E-4,0.117969142294,1.40778872723E-4,0.0,0.0418892261602,0.780703833311,1511.77777778,0.0,4488.11180595,166.0,30.0,0.0365817137815,843.016527832,14.9731643707,1.42889038759E-6,1511.77777778,2744.0,0.0,0.0,0.0,54.5,63.8062015504,1360.6,4.88256138229E-4,6.3702720637E-4,5.68774291402E-6,9.2401882605E-5,0.0787090309023,61.8372093023,0.257994027147,14.6758479336,8.17590292977E-5,0.0,4.42380004424E-5,90.3998494757,0.0396219444,2472.0,184.222222222,0.0,9,4.10689006278,308.0,0.258356208106,9.30761179196E-5,152.293023256,6.2940834566,7.04961805077E21,1.70200881301E-8,5.46053348179,0.0020703384207,2.0,0.958719741767,0.039843746263,3.05931241172E-5
242,Eli_Qiao,1453.0,0.00497626448744,12.9732142857,0.00432510801645,1053.64705882,63.0,509.0,1.22072239938E36,1.35122136556E26,0.0366013863485,1.05763610559E-4,0.0133244857332,0.0287726800885,5.6064032301,1048.12121212,98.5373148148,371.292088487,144.5,306.0,0.0253029751692,814.000632523,12.0730174053,4.45170273968E-7,1048.12121212,1619.15151515,0.0532183145322,1236.0,0.0718513603185,193.5,237.851028301,1053.64705882,0.00470620019466,0.00546781685468,0.0291613060118,6.25276580012E-6,0.0973422305583,95.2846300846,0.881331179296,12.0994937841,2.6836959120499999E18,0.013802256138,0.0188697098692,191.487621592,0.0383488579673,1614.26470588,145.484848485,1236.0,21,48.4485869596,25.6144578313,0.811577594936,9.08551065709E-5,564.159471062,60.7883015398,1.65965443257E25,0.00144311760908,22.4438008211,0.00891616898916,112.0,3.88577794108,0.0380967178567,1.19953869448E-5
243,Eiichi_Aikawa,24.0,0.00370809337067,4.0,0.0112177165734,879.8,12.0,61.0,6.10507650645E27,5.62960435295E22,0.0377755662356,1.07608848959E-4,1.06171201062E-4,0.0254665814636,0.95966597476,971.111111111,204.780277778,311.571080282,176.4,25.0,0.0225251719678,158.173666088,9.51280672837,3.16130430167E-7,971.111111111,1363.0,0.0,58.0,0.0,37.0,39.5555555556,879.8,2.70317507446E-4,1.85799601858E-4,0.0,3.74878627378E-6,1.85799601858E-4,23.4166666667,0.367199089689,8.96152605553,292610.085885,1.59256801593E-4,7.68519396257E-4,52.7245553627,0.0412295465242,1229.1,195.333333333,58.0,9,8.96588373323,7.6,0.330573442547,1.23659310945E-4,93.2666666667,58.0667051327,0.0,0.0,30.1583406954,6.63570006636E-5,6.0,0.816080283315,0.036336119776,1.07552179931E-5
244,lizheming,79.0,0.0,19.75,0.0,226.666666667,2.0,4.0,1.69669402505E-5,5.11254657239E-4,0.0386034169236,8.53312976957E-5,0.0,0.108741661374,0.0150104067609,338.5,10.1258333333,2038.30681443,52.0,1.0,0.102540230883,0.0,5.25335249042,6.11164246943E-8,338.5,380.5,8.49369608494E-4,3.0,7.43198407432E-4,38.0,46.6666666667,226.666666667,0.0,0.0,5.09125221682E-4,9.03635136369E-7,0.0,4.0,0.0150104067609,10.0855683269,0.00187935573217,0.0,0.0,0.0,0.0294117647059,280.0,76.0,3.0,2,0.0,111.5,0.0150104067609,7.99830301085E-5,103.1,18.0077469086,4.21992284828E-5,0.0,0.0,0.0,4.0,0.0150104067609,0.142260112379,1.65158219406E-6
245,Lars_Kellogg_Stedman,37.0,0.0074041036872,12.3333333333,0.0,2098.75,3.0,509.0,4.58412147947E-4,0.0,0.220701841105,3.20997805787E-4,0.0,0.0572119204988,0.153336537854,2797.66666667,176.676388889,8083.63012614,240.75,3.0,0.0503835890397,174.045300926,14.9482613665,1.02690474971E-5,2797.66666667,4541.66666667,0.0,2.0,0.0,18.0,27.6666666667,2098.75,1.17344375289E-4,0.0,0.0,1.88078102301E-4,0.0,47.0,0.0383787017613,14.2945293582,0.0,0.0,0.0,3.9066886717,0.05928371215,3415.5,320.0,2.0,3,4.4408920985E-16,351.5,0.0332633947807,1.44681615052E-4,65.0,13.1188659424,7.27533791857E-4,0.0,4.4408920985E-16,0.0,3.0,0.0772891783993,0.0691724802136,9.11221989523E-5
246,Brad_Pokorny,25.0,0.0,12.5,0.0,238.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0103259967366,474.0,0.0,1434.95949608,32.0,0.0,0.0,21.9564351852,25.4193548387,0.0,474.0,1576.0,0.0,2.0,0.0,7.0,8.66666666667,238.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0103259967366,18.9596774194,0.0,0.0,0.0,7.3188117284,0.0,800.5,62.0,2.0,1,0.0,64.0,0.0133535388037,0.0,20.3,23.5688233382,0.0,0.0,0.0,0.0,2.0,0.0133535388037,0.0,0.0
247,wangbo,43.0,0.0,21.5,0.0,398.666666667,2.0,4.0,9.31207266653E-4,6.40525728426E-4,0.0,0.0,0.0,0.0,0.0519865767628,593.5,0.0,186.078726531,80.0,0.0,0.0,0.0,8.98728813559,0.0,593.5,600.0,0.0,9.0,0.0,13.0,19.0,398.666666667,2.87071612808E-4,0.0,5.34555381637E-4,0.0,0.0,4.0,0.0519865767628,13.1581920904,5.87285140752E-4,0.0,3.55641924985E-4,0.0,0.0,414.333333333,119.0,9.0,2,0.0,19.0,0.0519865767628,0.0,43.8,77.1711066796,9.65755836614E-4,0.0,0.0,0.0,2.0,0.0519865767628,0.0,0.0
248,Claudiu_Belu,804.0,0.0146668603517,20.1,0.00972574152933,919.153846154,17.0,487.0,4.49264422167E28,1.01649345592E14,0.0361535088605,1.0953334707E-4,0.0145189117452,0.0230133333024,1.51719605815,953.5,144.733043981,360.954204924,151.769230769,29.0,0.0209726543137,306.612335438,8.54444958656,1.29235809162E-6,953.5,1559.41666667,0.0145189117452,507.0,0.0145189117452,72.5,92.9819499341,919.153846154,0.0154579137197,0.0145189117452,0.0151824712868,1.27944052993E-5,0.00889003322576,41.5545454545,0.455368434918,9.4333380799,2.54106559588E9,0.0145189117452,0.0148969684483,68.9979016554,0.0265363373474,1501.30769231,161.083333333,507.0,8,25.1312278295,24.8461538462,0.586046508758,8.21105219437E-5,213.065968379,57.288242107,131156.657189,0.00347815478162,19.7261647527,0.0145189117452,40.0,2.3647080068,0.0311556187669,1.75150408179E-5
249,llg8212,4.0,0.0,4.0,0.0382668958,1023.0,2.0,36.0,2.46285340909E-5,1.05274532355E-5,0.0604509071011,8.86560935446E-5,2.65428002654E-4,0.0526696860712,0.045951259649,1529.0,0.0,4.75488750216,176.666666667,1.0,0.0473020392144,0.0,7.93048496856,5.89460683291E-7,1529.0,2075.0,0.0,11.0,0.0,11.5,14.0,1023.0,1.45026858642E-5,0.0,0.0,1.31361121176E-5,0.0,6.0,0.00840300739675,6.62032331237,2.06598326163E-5,0.0,0.0,0.0,0.0824129214899,1384.66666667,264.5,11.0,2,3.0,3.0,0.00803076159455,7.59022364484E-5,32.625,80.6732413198,0.0,0.0,0.0,0.0,1.0,0.0429732932313,0.0697485393104,1.45496844243E-5
