id,label,lines_of_code_added_sum,lcc_wt_mu_inter_commit_time,lines_of_code_added_avg,lcc_std_spatial_inter,ego_lines_of_code_removed_sum,s_wt_n_com_code,s_wt_sum_joint_commit,nbc_wt_std_inter_commit_time,nbc_wt_mu_inter_commit_time,lcc_wt_mean_joint_commit,lcc_wt_hm_diff_first_commit_time,nbc_wt_hm_diff_first_commit_time,lcc_diff_90_10_spatial,s_wt_hsum_diff_last_commit_time,neigh_lines_of_code_removed_mean,tenure_committer,avg_hv_committer,ego_total_num_committs,triangle,lcc_mean_spatial_inter,s_diff_90_10_temporal,neigh_lines_of_code_added_avg,lcc_wt_hsum_diff_first_commit_time,neigh_lines_of_code_removed_sum,neigh_lines_of_code_added_sum,nbc_wt_hsum_diff_last_commit_time,lines_of_code_removed_mean,nbc_wt_hsum_diff_first_commit_time,s_median_spatial_inter,s_mean_spatial_inter,ego_lines_of_code_removed_mean,nbc_wt_n_com_code,nbc_diff_90_10_spatial,nbc_wt_sum_joint_commit,lcc_wt_sum_joint_commit,nbc_median_spatial_inter,s_wt_mean_joint_commit,s_wt_hm_diff_last_commit_time,ego_lines_of_code_added_avg,nbc_diff_90_10_temporal,nbc_wt_hm_diff_last_commit_time,nbc_wt_mean_joint_commit,s_wt_mu_inter_commit_time,lcc_wt_n_com_code,ego_lines_of_code_added_sum,neigh_total_num_committs,lines_of_code_removed_sum,kshell_index,s_std_spatial_inter,avg_cc_committer,s_wt_hm_diff_first_commit_time,lcc_wt_hm_diff_last_commit_time,s_diff_90_10_spatial,avg_mi_committer,nbc_std_spatial_inter,lcc_wt_std_inter_commit_time,s_wt_std_inter_commit_time,nbc_mean_spatial_inter,total_num_committs,s_wt_hsum_diff_first_commit_time,lcc_median_spatial_inter,lcc_wt_hsum_diff_last_commit_time
0,yuntongjin,3.0,0.0,3.0,0.0,1173.0,2.0,26.0,4.8926665274E-4,0.0,0.284347338418,2.00873123183E-4,0.0,0.0461082959171,0.199887588987,1758.0,0.0,1976.92058562,97.0,1.0,0.0389963921701,335.983009259,15.4017776777,1.9211351233E-5,1758.0,2273.0,0.0,3.0,0.0,6.0,7.0,1173.0,4.27721223527E-5,0.0,0.0,0.0032540710967,0.0,10.0,0.0715040876597,11.2678517852,0.0,0.0,0.0,37.3314454733,0.068678550967,1516.33333333,145.0,3.0,2,0.0,98.0,0.0523648746954,2.04050756493E-4,17.7,26.5879412754,6.37454890883E-4,0.0,0.0,0.0,1.0,0.107908024702,0.0253026240405,6.73639434388E-5
1,Takashi_NATSUME,576.0,0.0,9.14285714286,0.0010735633481,593.964285714,31.0,186.0,4.06531221971E19,1.14421573228E12,0.0401888151875,2.77523210455E-4,0.0606936416185,0.0213665739285,1.8549484291,594.481481481,55.8110069444,1918.85362781,79.5,108.0,0.0189214565557,695.447866898,15.0960392611,1.75863619527E-5,594.481481481,984.296296296,0.103911816104,580.0,0.12810861675,199.5,168.2,593.964285714,0.0385505263855,0.0567280548461,0.0810156466872,3.30225084006E-4,0.0692342706737,74.9333333333,1.13086507804,14.883425614,1.71355330554E10,0.0606264282834,0.0450059728214,178.957543419,0.0197389438374,969.714285714,80.1111111111,580.0,14,41.8067924147,102.517857143,3.82188331763,9.93781114645E-5,390.09,47.4800264418,1.04880468829E9,0.0,38.0387870787,0.0590021060178,63.0,18.2223191123,0.0122694126047,1.78937731274E-5
2,Sahid_Orentino_Ferdjaoui,572.0,0.0134513433509,22.88,0.00865020146574,458.111111111,37.0,940.0,2.0809063598E16,6.39544189939E10,0.0644962041418,3.22903207992E-4,0.0468476945826,0.0349900398292,33.1170052321,467.692307692,95.0050694444,6213.38365123,67.2222222222,121.0,0.0311498370591,1506.88563094,16.7878129198,3.61255258539E-5,467.692307692,848.076923077,0.0669444817852,209.0,0.0565936281758,205.0,258.765811966,458.111111111,0.0102883541071,0.00820002688533,0.0324175966302,0.00113506022019,0.0395607162122,105.576923077,2.41213130182,17.0134494783,8.53642643856E7,0.0518214813819,0.0159888828045,275.504699467,0.0278704637046,837.851851852,68.8461538462,209.0,14,75.5980691173,265.0,2.17794165464,2.10877816111E-4,591.280512821,23.5485462295,2.31223765104E8,0.00209662087427,79.9882735233,0.0122216247704,25.0,11.0433331223,0.0179571605678,8.51204418016E-5
3,Taylor_Peoples,47.0,0.0,7.83333333333,0.0,353.75,5.0,67.0,1.53166558436E-4,3.89537570579E-4,0.0936128436912,5.55615825344E-4,0.0,0.123808761616,16.3793629656,470.666666667,0.0,230.829322916,44.25,2.0,0.109903318236,69.632,16.07033571,5.43491695671E-5,470.666666667,1080.66666667,0.0,3.0,0.0,65.0,62.8444444444,353.75,7.94207544195E-5,0.0,0.00351209316292,0.00110263344117,0.0,8.2,1.41906415544,14.0110851159,6.24649796971E-4,0.0,6.59523790697E-4,13.0885343915,0.0721634269426,822.25,57.0,3.0,3,7.74583918574,32.0,0.371831969075,0.00185063525853,142.813333333,52.9662160431,4.48436528649E-4,0.0,1.89887346496,0.0,6.0,0.670880170236,0.0,6.23265996238E-4
4,Nicolas_Simonds,960.0,0.0163742001755,56.4705882353,0.00571146822377,599.266666667,17.0,8095.0,2.18319264183E15,1.2119876093E10,0.127807289551,4.85454047778E-4,0.0114262669714,0.0635903287797,209.519202102,635.285714286,36.7986111111,6265.65904001,97.4666666667,41.0,0.0583058922808,1079.99675968,15.6847641033,1.31948967461E-4,635.285714286,1024.0,0.0226508939374,95.0,0.027288614061,143.5,228.948915717,599.266666667,0.0168087929613,0.0118967603172,0.0121694907906,0.0100198560582,0.00908210007047,85.0972501677,3.15354020435,18.4038190455,4.24134352712,0.0114262669714,0.0130956381746,94.7561611287,0.0308561362304,1019.73333333,103.214285714,95.0,10,24.4425967715,273.705882353,2.77484377168,3.50499506616E-4,513.956002683,21.5463914553,439780.248374,3.39022803405E-8,5.99538740548,0.011762333647,17.0,16.2654188164,0.0311106790761,6.25851267103E-4
5,Oleg_Bondarev,13.0,0.0,6.5,0.0,330.666666667,2.0,18.0,3.63846690294E-5,0.0,0.0,0.0,0.0,0.0,0.0486114152829,496.0,0.0,10016.7269603,40.3333333333,0.0,0.0,49.0772546296,14.9184384164,0.0,496.0,889.0,0.0,0.0,0.00578034682081,9.0,10.6666666667,330.666666667,3.09928156413E-5,0.0,0.0,0.0,0.0,10.0,0.0290204581422,12.1122922776,0.0,0.0,0.0,4.24052172365,0.0,597.0,59.5,0.0,2,0.0,483.5,0.0188482918381,0.0,26.6,0.0,5.12533781588E-4,0.0,0.0,0.0,2.0,0.0282670826746,0.0,0.0
6,sarvesh_ranjan,1.0,0.0,1.0,0.0,229.0,2.0,14.0,0.00122121444981,0.0,0.104829655768,3.68146127205E-4,0.0,0.0735512890012,0.309874210414,343.0,0.0,1462.95198432,18.0,1.0,0.0612559234117,2.00150462963,15.5111111111,1.55426593644E-5,343.0,679.5,0.0,1.0,0.0,8.5,10.6666666667,229.0,0.0,0.0,0.0,5.29579350264E-4,3.69673343191E-4,5.0,0.299786838283,10.6740740741,0.0,0.0,0.0,0.667168209877,0.047619047619,453.333333333,26.5,1.0,2,2.0,68.0,0.299764360308,1.69622214044E-4,26.45,43.123081006,0.0,0.0,0.0,0.0,1.0,0.309784298516,0.0,2.47195769404E-5
7,Dao_Cong_Tien,95.0,0.0,19.0,0.0,1093.25,3.0,6.0,1515820.46701,235.587401622,0.0415004661438,3.66057225968E-5,1.34426670251E-4,0.0206721138072,0.0156388462106,1418.0,77.9218981481,234.177217069,85.25,1.0,0.0179324357563,0.0,7.96706495098,2.75863693739E-6,1418.0,752.333333333,0.0195590805216,119.0,0.0189541605054,11.0,17.3333333333,1093.25,5.67726455099E-4,0.0,0.00488409562462,3.74231488907E-4,0.0,6.0,0.0156388462106,10.7252987132,4.31901162987,7.39346686383E-4,4.45906649697E-4,0.0,0.0353012712789,588.0,112.0,119.0,3,0.0,14.25,0.0156388462106,2.31896077247E-5,41.2,50.6976250155,12.6282243558,0.0,0.0,0.0,5.0,0.0156388462106,0.0104002728201,6.03242843218E-6
8,Kevin_Zheng,291.0,0.0137307006564,6.92857142857,0.00760640931027,508.484848485,42.0,8965.0,7.3845967629100001E18,4.99625018147E9,0.0847448128649,3.49463397776E-4,0.0416722677779,0.0258798424355,44.316511394,518.625,281.144502315,3211.86226158,74.5151515152,173.0,0.0230000111128,1479.86761774,15.4555923149,1.68079285111E-4,518.625,955.59375,0.0500067213335,184.0,0.0436214544966,165.5,209.598999627,508.484848485,0.0365108989113,0.0239279473047,0.0372883480512,0.00565764959225,0.071632935241,179.124368983,1.92896231012,15.1971977425,8.42220043463E7,0.0291705874445,0.0342480540488,229.598968947,0.0266741824447,935.454545455,75.53125,184.0,14,66.555931679,156.71875,5.59169543819,2.3491469774E-4,489.594282662,42.6282795248,2.99215157117E10,0.00111404732268,24.3862039551,0.0253506295649,42.0,325.269515312,0.0121653423846,3.1990463218E-4
9,Pavel_Kholkin,461.0,0.0322024301749,14.8709677419,0.011673986453,714.857142857,16.0,12958.0,5.9394754232E12,166580.229067,0.127344147329,0.00155665503403,0.00174754671327,0.0494106745674,57.7287466577,737.0,55.1267824074,4704.79533983,106.785714286,44.0,0.0448220963429,1128.23420143,21.7221562624,7.26978463187E-4,737.0,1439.92307692,0.0094098669176,427.0,0.0,74.0,85.5080495356,714.857142857,0.00897778517268,0.012837747009,9.7347313707E-4,0.0144550746937,0.00962922139324,84.2421052632,1.09621740931,21.2327856538,0.0,0.0,0.00261011784738,223.610957619,0.0410327180661,1370.0,112.615384615,427.0,11,21.8296762788,251.37037037,4.74634788196,4.67296502052E-4,200.554458204,24.7589245809,139697.262014,0.00118855834603,3.21977716063,0.013610700363,31.0,284.987074728,0.0275683130778,8.33994013727E-4
