committer_id|bin_2months|num_files|total_code_added|total_code_change|total_code_del|sum_net_contr|avg_net_contr|mean_neighbr_files|mean_neighbr_code_add|mean_neighbr_code_change|mean_neighbr_code_del|mean_neighbr_avg_avg_netcontr|mean_neighbr_avg_sum_netcontr
727|13|20|20|363|0|383.0|76.6|51.0|32.0|708.0|76.0|78.0|702.0
444|14|2|0|15|10|10.0|10.0|170.0|326.0|2430.0|403.0|29.0284090909|2554.5
86|3|9|38|143|0|181.0|90.5|268.0|892.0|3091.0|159.0|125.919354839|3903.5
280|13|43|152|602|15|746.5|41.4722222222|47.0|204.0|1032.0|0.0|72.7058823529|1236.0
1478|5|2|1|18|0|19.0|19.0|120.0|233.0|1855.0|51.0|62.5|2062.5
570|13|14|72|360|0|432.0|61.7142857143|230.0|1120.0|1808.0|1166.0|36.640625|2345.0
1281|7|19|37|6|84|1.0|1.0|28.0|37.0|158.0|84.0|38.25|153.0
280|15|5|3|39|0|42.0|14.0|27.0|616.0|273.0|3.0|88.75|887.5
1571|3|11|62|340|794|5.0|0.5|90.0|2345.5|1128.0|435.0|77.0491803279|3256.0
627|13|2|7|37|0|44.0|44.0|10.0|30.0|321.0|0.0|70.2|351.0
772|9|8|140|544|0|684.0|228.0|22.5|455.5|1551.0|0.0|239.15625|2006.5
772|8|2|49|58|0|107.0|107.0|8.0|204.0|398.0|0.0|150.5|602.0
1607|3|5|258|250|1|507.5|253.75|340.5|6902.5|7239.5|4876.5|209.120192308|11703.75
832|12|31|5|427|0|432.0|30.8571428571|14.0|53.0|896.0|0.0|79.1346153846|949.0
172|12|3|0|12|14|5.0|5.0|111.0|1037.0|813.0|935.0|57.6041666667|1382.5
172|10|1|0|0|1|-0.5|-0.5|14.0|68.0|359.0|1.0|47.3888888889|426.5
129|16|13|0|87|2|86.0|28.6666666667|54.0|75.3333333333|347.666666667|229.333333333|34.3585858586|308.333333333
129|15|150|210|1062|1533|505.5|18.7222222222|201.5|1132.0|2038.0|452.5|63.7114485981|2943.75
860|12|15|171|1602|28|1759.0|195.444444444|20.0|119.0|1402.0|168.0|130.636363636|1437.0
869|6|251|12309|2421|29|14715.5|865.617647059|117.333333333|4747.33333333|1359.0|26.0|834.113888889|6093.33333333
869|7|72|3336|899|403|4033.5|1008.375|263.0|4392.0|3404.0|459.333333333|295.90563014|7566.33333333
869|4|28|41|682|7|719.5|143.9|761.0|9192.0|15269.0|1807.0|142.772727273|23557.5
10|4|8|14|55|0|69.0|13.8|540.0|7430.0|2891.0|5277.0|30.4861111111|7682.5
128|14|20|17|243|1|259.5|64.875|75.0|167.0|803.0|534.0|54.0769230769|703.0
1442|3|2656|17249|29044|17344|37621.0|70.9830188679|580.666666667|7504.0|10071.6666667|3700.0|153.548097665|15725.6666667
128|16|10|5|68|4|71.0|35.5|55.0|73.6666666667|354.0|228.666666667|32.0808080808|313.333333333
128|12|128|226|3373|0|3599.0|71.98|12.0|16.5|266.5|0.0|62.1666666667|283.0
5|15|33|12|325|66|304.0|30.4|240.0|2703.66666667|1562.33333333|544.0|84.0973329789|3994.0
78|15|4|0|23|0|23.0|23.0|32.0|73.0|253.0|501.0|18.875|75.5
563|10|640|5519|5700|6002|8218.0|91.3111111111|1036.0|8424.0|14254.0|4187.0|115.643258427|20584.5
688|9|9|15|147|0|162.0|40.5|64.0|60.0|728.0|28.0|51.6|774.0
1114|7|169|1061|3669|353|4553.5|63.2430555556|625.0|6648.0|7493.0|1261.0|84.9716981132|13510.5
429|10|1562|10036|24035|8406|29868.0|228.0|646.5|4823.5|9638.5|2584.0|93.3494069913|13170.0
1484|4|1|11|24|0|35.0|35.0|36.0|90.0|677.0|46.0|57.2307692308|744.0
1400|4|108|14504|72|0|14576.0|1214.66666667|11.0|1455.0|9.0|0.0|1464.0|1464.0
663|12|43|1439|385|0|1824.0|152.0|1162.0|15610.0|21575.0|31335.0|69.6359223301|21517.5
663|13|76|777|1387|2|2163.0|113.842105263|118.333333333|647.666666667|1502.0|912.0|79.9754464286|1693.66666667
835|11|181|4150|5173|2572|8037.0|365.318181818|21.0|431.0|569.0|245.0|292.5|877.5
835|10|93|291|1318|399|1409.5|93.9666666667|112.0|607.333333333|1841.33333333|162.666666667|142.040900072|2367.33333333
341|11|2|0|16|1|15.5|15.5|21.0|0.0|179.0|7.0|13.5|175.5
1400|2|21|2324|36|0|2360.0|590.0|251.0|7871.0|8760.0|11602.0|270.75|10830.0
710|7|32|32|424|323|294.5|26.7727272727|319.666666667|2375.33333333|4078.0|1297.33333333|60.1323789032|5804.66666667
1442|4|491|8008|3703|2158|10632.0|120.818181818|2114.5|11622.0|19641.5|34077.75|55.6513324706|14224.625
57|4|409|12971|15691|35|28644.5|353.635802469|569.0|11641.0|15266.5|923.0|275.098169192|26446.0
161|7|210|6293|1123|452|7190.0|156.304347826|625.0|6648.0|7493.0|1261.0|84.9716981132|13510.5
161|6|241|11936|2410|1258|13717.0|274.34|1477.0|9235.0|13363.0|5316.0|114.597701149|19940.0
