committer_id|binnumber_2months|num_files|total_code_added|total_code_change|total_code_del|sum_net_contr|avg_net_contr|mean_neighbr_files|mean_neighbr_code_add|mean_neighbr_code_change|mean_neighbr_code_del|mean_neighbr_avg_avg_netcontr|mean_neighbr_avg_sum_netcontr|num_of_blueprints_per_bin|num_of_bugs_per_bin|dummy_bug_o_blueprint
29|15|201|539|3447|620|3676|56.55384|10|14|614|12|69.11111|622|61|4|2
29|16|7854|8494|5388|9757|9003.5|125.0486|1388.667|1361.167|1195.167|1565.5|84.05776|1773.583|9|63|2
30|2|183|3472|7302|11074|5237|218.2083|262.5|6442.5|10134.5|13958.5|226.3044|9597.75|24|0|0
30|5|2|22|20|0|42|42|419|4190.5|9862|8684.5|114.8633|9710.25|||
30|8|2|0|31|92|-15|-15|68|124.5|755.5|186.5|35.87356|786.75|||
30|9|15|20|249|0|269|134.5|94|261|1663|7|174.5909|1920.5|0|2|1
30|10|34|157|909|9|1061.5|117.9444|38|172|932|292|47.9|958|0|9|1
30|11|38|331|146|21|466.5|116.625|10.5|156|291.5|3.5|73.25|445.75|0|3|1
30|12|5|0|15|48|-9|-2.25|19.5|96.5|243.5|107|22.47794|286.5|0|4|1
30|13|13|87|1509|1897|647.5|129.5|114|529.6667|6293|6891.667|85.89086|3376.833|3|2|2
30|14|118|994|1119|1973|1126.5|125.1667|152.3333|713.8333|2102.333|2825.333|74.40363|1403.5|5|4|2
30|15|71|1232|3691|5445|2200.5|183.375|212.8182|1045.364|7319.818|11526.27|76.46646|2602.045|12|0|0
30|16|147|217|935|682|811|24.57576|866.1053|1211.421|1843.421|1579.947|51.30797|2264.868|21|12|2
31|3|424|3013|8521|1050|11009|129.5177|41.5|127|803|0|86.89394|930|24|61|2
31|4|516|3926|8813|4286|10596|64.60976|230.1429|3026.428|3762.714|1076.857|185.4084|6250.714|39|125|2
31|5|456|3385|6709|3939|8124.5|80.4406|559|4473|7364|3612|99.31683|10031|68|33|2
31|6|1360|19865|27477|6463|44110.5|203.2742|799.5|4859|7621|2753|100.895|11103.5|132|85|2
31|7|1486|29716|29602|8971|54832.5|224.7234|250.1667|2030|3153|1498|78.63508|4434|155|89|2
31|8|560|2456|10058|3483|10772.5|97.04955|198.5714|1592.429|5198.571|3770.428|137.4886|4905.786|70|41|2
31|9|557|3574|12042|1014|15109|138.6147|211|2295|5624|6102|109.7456|4868|65|44|2
31|10|470|1937|5516|4815|5045.5|46.28899|149|1378.4|3841|4986.6|92.42368|2726.1|49|60|2
31|11|529|1802|5623|938|6956|58.45378|151|853.6667|2865.333|837|112.1404|3300.5|81|38|2
31|12|||||||||||||28|57|2
31|13|309|2083|9129|6017|8203.5|100.0427|377|2519.5|6063.5|2034|64.65002|7566|31|51|2
31|14|230|770|3750|876|4082|55.91781|127|496|916|30|116.4167|1397|55|18|2
31|15|280|1122|5490|448|6388|74.27907|19|113|130|66|35|210|74|12|2
31|16|118|186|1738|3426|211|6.028572|192.5|873.5|2126.5|1419|30.41288|2290.5|15|20|2
34|2|||||||||||||3|0|0
34|3|||||||||||||14|0|0
34|4|317|8552|1454|84|9964|524.4211|209|2010|5096|1124|218.1333|6544|19|0|0
34|10|||||||||||||0|4|1
34|11|||||||||||||0|2|1
34|12|||||||||||||0|3|1
36|2|25|238|301|1|538.5|538.5|323|3443|3733|14|512.0714|7169|||
36|3|287|1644|6603|291|8101.5|368.25|345.25|5215.5|7234.5|2941.75|177.8627|10979.13|3|19|2
36|4|||||||||||||0|13|1
36|5|362|4728|14889|15406|11914|170.2|147.3333|1136.333|2184.333|50.33333|123.4385|3295.5|69|0|0
36|6|||||||||||||61|6|2
36|7|297|738|2345|973|2596.5|103.86|153|2295|1802|2865|106.58|2664.5|7|18|2
36|8|40|321|1030|15|1343.5|149.2778|355.5|4227|4527|1286.333|137.4111|8110.833|2|7|2
36|9|74|1212|901|896|1665|128.0769|264.3333|3782|3813.833|3162.667|215.8762|6014.5|6|7|2
36|10|||||||||||||0|7|1
36|11|49|715|653|97|1319.5|131.95|641.75|11906.75|4663.75|1792.5|133.7927|15674.25|10|0|0
36|13|29|334|445|25|766.5|109.5|71.66666|356.6667|1160.667|91.33334|59.41768|1471.667|5|2|2
36|15|6|25|93|0|118|29.5|10|213|184|0|56.71429|397|0|3|1
36|16|1274|191|619|587|516.5|28.69444|1836.5|2034.375|1479.375|2201.375|70.04625|2413.063|0|18|1
38|4|||||||||||||0|3|1
38|5|||||||||||||0|5|1
38|15|3|1|22|0|23|23|9|3|51|5|17.16667|51.5|||
38|16|14|66|228|5|291.5|291.5|228|930|4014|376|190.24|4756|||
39|6|6|20|517|0|537|537|279|3359|9288|34|233.8889|12630|||
40|10|162|704|2348|414|2845|88.90625|97.33334|688.6667|2037.333|404.3333|98.71345|2523.833|0|32|1
40|11|52|334|978|251|1186.5|98.875|699|3836|15821|10318|174.6747|14498|9|3|2
40|12|19|133|333|0|466|233|1403|5767|33255|25964|197.2727|26040|||
40|13|||||||||||||0|11|1
40|14|32|179|114|0|293|48.83333|56|785|11473|14414|229.5909|5051|2|4|2
40|15|||||||||||||0|6|1
40|16|20|0|204|23|192.5|24.0625|5|0|76|1|37.75|75.5|3|5|2
44|4|943|18720|8251|22|26960|369.3151|761|9192|15269|1807|142.7727|23557.5|71|2|2
44|6|||||||||||||47|2|2
44|7|||||||||||||7|7|2
44|10|65|382|802|68|1150|54.76191|105.25|609.5|2019|389.75|102.0712|2433.625|0|21|1
44|16|||||||||||||0|3|1
45|7|8|80|82|0|162|81|52|177|815|127|46.425|928.5|0|2|1
45|9|221|4013|3281|602|6993|170.561|1130|7144|7024|74|235.5167|14131|28|13|2
45|10|134|1393|3992|746|5012|147.4118|113.5|543|1575|241|71.83408|1997.5|18|16|2
45|11|699|3836|15821|10318|14498|174.6747|52|334|978|251|98.875|1186.5|69|14|2
45|12|1403|5767|33255|25964|26040|197.2727|19|133|333|0|233|466|120|12|2
45|13|258|1523|17878|19034|9884|224.6364|96|565.2|1161.8|1057.6|79.24259|1198.2|36|8|2
45|14|56|785|11473|14414|5051|229.5909|102|339|531|98|38.18197|821|15|7|2
45|15|24|401|6584|8190|2890|240.8333|71|1232|3691|5445|183.375|2200.5|9|3|2
45|16|443|292|5234|4916|3068|49.48387|192.5|873.5|2126.5|1419|30.41288|2290.5|19|43|2
46|13|||||||||||||0|5|1
46|14|||||||||||||0|5|1
46|15|||||||||||||0|2|1
46|16|16|27|140|0|167|41.75|17|23|192|2|36.33333|214|0|4|1
47|2|||||||||||||0|18|1
47|3|140|22547|14716|29059|22733.5|649.5286|670|13218|13965|9753|142.9904|22306.5|29|6|2
47|4|||||||||||||4|7|2
47|5|||||||||||||0|2|1
47|9|||||||||||||25|11|2
47|10|||||||||||||9|5|2
47|11|187|534|814|1001|847.5|24.21428|717|3745.333|6339.667|1961.333|58.86182|9104.333|27|8|2
47|12|||||||||||||68|3|2
47|13|||||||||||||11|15|2
47|14|230|479|1917|4702|45|2.25|227.5|3188|2251|834|93.50391|5022|0|20|1
47|15|32|73|253|501|75.5|18.875|12|29.5|242|54|40.625|244.5|0|3|1
47|16|10|16|78|4|92|30.66667|20|28.5|223|0|41.875|251.5|0|3|1
48|13|9|4|26|29|15.5|15.5|26|12|92|66|11.83333|71|||
49|2|269|31|16|1364|-635|-90.71429|189|36|36|1328|-148|-592|6|0|0
49|3|||||||||||||59|8|2
49|4|||||||||||||25|14|2
49|5|41|216|613|1|828.5|48.73529|69.5|334|828|176.5|37.52885|1073.75|2|15|2
49|6|51|1444|542|11|1980.5|220.0556|163.75|2797.75|1849|52.75|552.7546|4620.375|5|4|2
49|7|83|3|62|133|-1.5|-.2142857|202|229|3357|1348|69.33334|2912|0|7|1
49|8|||||||||||||0|2|1
49|9|||||||||||||0|3|1
49|10|27|536|116|65|619.5|36.44118|30|312.3333|854.6667|11.33333|49.82099|1161.333|3|14|2
49|11|21|200|2|18|193|32.16667|96|1501|1574|41.5|118.8895|3054.25|0|6|1
49|12|||||||||||||0|11|1
49|13|55|45|254|447|75.5|6.863636|416.5|2158.75|5223.5|2735.25|46.04164|6014.625|3|8|2
49|14|9|2|1317|2|1318|329.5|7|3|1317|0|1320|1320|0|3|1
49|15|4|8|70|1|77.5|38.75|1|0|0|1|-.5|-.5|0|2|1
50|12|51|480|2045|13|2518.5|148.1471|602|7853|11120|15815|50.15546|11065.5|7|10|2
50|13|||||||||||||6|16|2
50|14|||||||||||||0|7|1
50|15|58|112|3243|883|2913.5|224.1154|22|47.5|984.5|275.5|194.4375|894.25|11|2|2
50|16|59|73|976|285|906.5|41.20454|82.5|207.5|629.5|349.5|44.38163|662.25|9|13|2
51|5|||||||||||||0|3|1
51|6|238|650|3448|570|3813|63.55|370|69|2176|557|89.38636|1966.5|14|46|2
51|7|318|1184|5074|196|6160|68.44444|51.5|198|910|480.5|59.81482|867.75|0|90|1
51|8|||||||||||||0|42|1
51|9|419|1026|5652|578|6389|50.30709|255|313|2290|233|46.0463|2486.5|15|112|2
51|10|474|1704|1646|1190|2755|61.22222|689|15014|2269.5|1079.5|147.158|16743.75|28|17|2
51|11|||||||||||||19|55|2
51|12|228|108|1971|4089|34.5|.6388889|653|3592|6393|1328|51.49724|9321|34|20|2
51|13|78|24|966|1641|169.5|7.369565|16.5|79|1034|949|104.0938|638.5|11|12|2
51|14|111|134|823|738|588|12|291|1298|1575|1015|30.32692|2365.5|8|41|2
51|15|88|41|463|180|414|21.78947|87|83.5|827.5|136.5|36.13182|842.75|11|8|2
51|16|100|70|1302|322|1211|28.16279|139.5|981.5|1366|987.75|80.56061|1853.625|11|32|2
55|13|||||||||||||0|174|1
55|14|172|499|948|196|1349|27.53061|46.5|592|5824.5|7262.5|130.0749|2785.25|0|49|1
55|15|||||||||||||0|22|1
55|16|18|61|237|0|298|33.11111|177|868|2270|1134|61|2571|0|9|1
56|7|||||||||||||0|18|1
56|8|||||||||||||5|3|2
56|9|81|607|1249|1650|1031|93.72727|476.5|6182.5|9975.5|6796.5|161.008|12759.75|6|5|2
56|10|20|621|599|548|946|105.1111|791.25|8448.25|17719|6461.5|121.126|22936.5|0|8|1
56|11|7|617|379|0|996|249|77|110.5|3861|1807.5|104.7832|3067.75|4|0|0
56|12|119|421|1831|3715|394.5|18.78572|631.4|3855.6|10824.4|6407.6|130.1832|11476.2|17|4|2
56|13|96|489|2253|1545|1969.5|93.78571|210.4444|1007|3446.667|1737.889|94.90054|3584.722|15|6|2
56|14|37|399|176|111|519.5|30.55882|113.25|800.25|1051.125|398.125|39.33755|1652.313|5|12|2
56|15|185|1618|2987|7053|1078.5|41.48077|115|647.25|3002.75|4149.5|141.3864|1575.25|4|22|2
56|16|18|198|324|17|513.5|64.1875|73|162|1179|285.5|48.19487|1198.25|0|8|1
57|3|456|17763|11969|56|29704|291.2157|1194|13885|16421.33|9035|177.0154|25788.83|102|0|0
57|4|409|12971|15691|35|28644.5|353.6358|569|11641|15266.5|923|275.0982|26446|78|3|2
57|6|||||||||||||0|3|1
57|11|||||||||||||0|9|1
57|12|||||||||||||0|5|1
57|13|||||||||||||0|9|1
57|14|||||||||||||0|5|1
57|15|||||||||||||0|2|1
57|16|||||||||||||0|3|1
59|12|||||||||||||0|4|1
59|13|9|11|229|0|240|60|651|11096|4192|679|109.1131|14948.5|0|3|1
59|16|6|13|251|5|261.5|65.375|20.66667|31.33333|449.3333|4|79.36111|478.6667|0|4|1
60|13|51|48|428|45|453.5|34.88462|5|0|83|1|82.5|82.5|0|13|1
60|14|53|16|1470|2173|399.5|24.96875|118|994|1119|1973|125.1667|1126.5|2|14|2
60|15|20|6|458|486|221|44.2|71|1232|3691|5445|183.375|2200.5|3|2|2
60|16|||||||||||||0|9|1
61|12|6|15|98|1|112.5|37.5|306|468.5|6135.5|3554|47.53463|4827|0|3|1
61|14|47|36|407|27|429.5|61.35714|424|791|6683|8868|33.77778|3040|7|0|0
61|15|202|701|2716|89|3372.5|120.4464|357|946|6371|9960|35.95385|2337|27|0|0
64|5|||||||||||||0|4|1
64|6|||||||||||||0|7|1
64|8|||||||||||||5|0|0
64|9|693|10494|14996|9214|20883|88.11392|214|983|2935|451.5|47.8017|3692.25|135|102|2
64|10|793|17842|20140|20435|27764.5|165.2649|485.2|3328.2|10379.8|1195.2|96.22463|13110.4|20|148|2
64|11|||||||||||||74|63|2
64|12|1162|15610|21575|31335|21517.5|69.63593|162|773.2|3161.4|1506.4|93.62682|3181.4|164|145|2
64|13|88|1506|4894|100|6350|288.6364|37|229.6667|612.6667|497|130.1869|593.8333|0|22|1
64|14|421|8363|6788|3729|13286.5|201.3106|161|4205|2349|1318|155.1316|5895|12|54|2
64|15|82|461|2278|1138|2170|98.63636|1502|44657|44948|80396|152.4907|49407|0|21|1
64|16|49|257|1650|108|1853|102.9444|1274|191|619|587|28.69444|516.5|3|15|2
66|8|7|136|310|69|411.5|411.5|386.2|2689.8|9193.4|5949.4|110.3272|8908.5|||
66|9|177|1007|235|375|1054.5|50.21429|221|472|3856|8418|5.409091|119|0|21|1
66|10|48|14|255|195|171.5|11.43333|217|241|4444|8263|14.56579|553.5|0|15|1
66|11|5|87|300|0|387|387|91|700|2676.667|503.3333|157.569|3125|||
66|12|267|1013|4405|2717|4059.5|82.84694|218|505|2976|4762|25.5814|1100|0|49|1
66|13|524|3919|10319|2902|12787|92.65942|146.8571|751.8571|2170.572|1575.143|61.17466|2134.857|7|131|2
66|14|413|6304|3708|1219|9402.5|146.9141|194|639|1848|2762|22.3701|1106|48|16|2
66|15|622|3596|7525|1573|10334.5|116.118|207.6667|554.6667|1395.333|2110|81.85577|895|56|33|2
66|16|||||||||||||3|19|2
