feature_id_id|bin_2months|committer_id|committer_neighbor_id|count
2198|13|30|825|3
1567|14|93|161|1
1600|14|55|56|1
7263|4|720|44|8
6025|6|720|1114|12
2330|12|520|29|54
5646|6|147|720|4
5792|6|31|720|96
3718|10|1052|49|2
4680|4|663|57|32
4680|4|663|720|8
4680|4|57|720|16
5623|7|161|720|10
71|16|30|87|6
159|16|199|10|5
7350|3|6|1054|13
8468|2|344|335|1
6523|5|449|720|3
1213|15|6|64|2
5761|6|1219|720|3
5582|6|147|1310|14
5327|7|36|626|2
5505|7|663|720|6
5311|7|1205|720|6
5998|6|626|751|14
3091|11|36|626|5
5855|6|626|751|26
3850|10|16|429|72
3850|10|335|16|8
3850|10|335|429|9
3905|10|92|450|16
5790|5|1120|720|24
4727|9|553|16|2
819|15|31|79|11
5790|6|1120|720|7
7916|3|1595|720|2
8262|3|344|1442|7
1868|13|99|56|17
5582|7|147|1310|12
1575|14|55|56|2
3107|10|626|51|6
7714|3|490|489|1
818|15|31|79|22
7529|3|403|720|10
1628|13|716|423|2
1628|13|716|92|1
1628|13|92|423|2
6644|5|161|720|1
294|15|254|115|2
3965|9|31|450|4
1485|14|239|648|2
856|15|93|129|22
1110|15|30|16|2
8194|3|553|86|2
2378|12|310|5|1
137|16|30|226|2
2970|11|626|761|5
3903|10|31|92|1
3097|11|206|307|1
3097|11|206|462|1
3097|11|462|307|1
745|14|520|29|3
6755|4|595|720|18
8240|3|344|1442|9
4541|6|107|720|60
4054|10|93|16|5
7013|4|1205|720|6
3132|11|211|56|2
6511|5|330|720|10
8460|2|1573|1459|80
7344|3|449|720|42
3239|11|98|835|4
125|16|6|118|10
1753|13|6|663|2
203|16|271|56|18
1221|14|444|239|2
7605|3|1457|564|3
7605|3|1457|1409|4
7605|3|1409|564|12
3847|10|16|429|117
7242|4|344|1442|14
5292|7|93|16|6
1483|14|45|40|2
6820|4|161|720|18
5403|7|31|626|6
63|16|170|169|4
8013|3|344|1442|5
4213|10|93|16|1
2628|12|93|68|14
2542|12|449|66|120
7386|4|344|1442|20
7386|4|344|1010|20
7386|4|1442|1010|1
5467|7|720|1114|4
8250|3|344|1442|8
7009|4|595|720|4
5399|7|203|1310|1
5399|7|1310|720|1
5399|7|147|1310|1
5399|7|203|720|1
5399|7|147|203|1
5399|7|147|720|1
6054|6|751|720|4
6413|5|449|720|1
1203|14|28|390|3
12|16|51|5|10
2630|12|520|29|2
2630|11|520|595|8
6203|6|161|720|4
8369|2|1001|720|8
5918|6|519|720|3
5918|5|519|720|6
3844|9|335|429|21
736|15|370|517|1
2682|12|761|5|2
7081|4|31|720|8
4084|6|720|1114|26
4084|7|720|1114|6
1441|14|66|47|3
7536|4|344|1442|4
7446|3|1409|564|8
7730|2|750|720|1
696|14|77|483|1
1545|14|30|5|3
8248|3|344|1442|6
6765|4|596|720|5
1766|11|155|211|6
2985|10|449|31|4
1766|13|211|5|2
1766|13|56|5|1
1766|13|357|211|4
1766|13|357|5|2
1766|13|357|56|2
1766|13|211|56|2
3904|10|31|92|9
3904|10|31|450|6
3904|10|92|450|6
7264|4|976|720|8
4145|9|1128|1129|2
2341|11|28|390|36
2341|12|28|390|20
