id,label,lines_of_code_added_sum,lcc_wt_mu_inter_commit_time,lines_of_code_added_avg,lcc_std_spatial_inter,ego_lines_of_code_removed_sum,s_wt_n_com_code,s_wt_sum_joint_commit,nbc_wt_std_inter_commit_time,nbc_wt_mu_inter_commit_time,lcc_wt_mean_joint_commit,lcc_wt_hm_diff_first_commit_time,nbc_wt_hm_diff_first_commit_time,lcc_diff_90_10_spatial,s_wt_hsum_diff_last_commit_time,neigh_lines_of_code_removed_mean,tenure_committer,avg_hv_committer,ego_total_num_committs,triangle,lcc_mean_spatial_inter,s_diff_90_10_temporal,neigh_lines_of_code_added_avg,lcc_wt_hsum_diff_first_commit_time,neigh_lines_of_code_removed_sum,neigh_lines_of_code_added_sum,nbc_wt_hsum_diff_last_commit_time,lines_of_code_removed_mean,nbc_wt_hsum_diff_first_commit_time,s_median_spatial_inter,s_mean_spatial_inter,ego_lines_of_code_removed_mean,nbc_wt_n_com_code,nbc_diff_90_10_spatial,nbc_wt_sum_joint_commit,lcc_wt_sum_joint_commit,nbc_median_spatial_inter,s_wt_mean_joint_commit,s_wt_hm_diff_last_commit_time,ego_lines_of_code_added_avg,nbc_diff_90_10_temporal,nbc_wt_hm_diff_last_commit_time,nbc_wt_mean_joint_commit,s_wt_mu_inter_commit_time,lcc_wt_n_com_code,ego_lines_of_code_added_sum,neigh_total_num_committs,lines_of_code_removed_sum,kshell_index,s_std_spatial_inter,avg_cc_committer,s_wt_hm_diff_first_commit_time,lcc_wt_hm_diff_last_commit_time,s_diff_90_10_spatial,avg_mi_committer,nbc_std_spatial_inter,lcc_wt_std_inter_commit_time,s_wt_std_inter_commit_time,nbc_mean_spatial_inter,total_num_committs,s_wt_hsum_diff_first_commit_time,lcc_median_spatial_inter,lcc_wt_hsum_diff_last_commit_time
112,Paul_McMillan,24.0,0.00432135557246,3.0,0.0,1680.0,7.0,115.0,3.9008383207E15,1.22466366759E10,0.0371596031326,1.63313584686E-4,8.6937622256E-5,0.020484609265,17.4126493351,1917.0,0.0,2079.53615203,257.875,10.0,0.0191559298757,227.432534722,11.0846688909,7.13412951849E-7,1917.0,2061.85714286,0.00712888502499,21.0,0.00160834601174,35.0,35.0,1680.0,0.00200368096905,0.00152140838948,0.00305618829961,2.91170201016E-6,4.3468811128E-5,36.0,17.2972176849,10.0740852795,1.60543476132E8,0.00117365790046,7.47663551402E-4,28.1509040638,0.0135091909465,1807.125,293.571428571,21.0,6,0.0,108.0,17.3393297244,6.28623423663E-4,80.7,31.8645855862,7.9254796252E13,0.0,0.0,9.01977830906E-4,8.0,17.5345420664,0.0111634207908,1.0889568924E-7
113,Clay_Gerrard,189.0,0.0133406982857,12.6,0.0142927485132,5048.61904762,37.0,49746.0,2.97111660575E23,6.56025228546E20,0.101164745269,3.00151057538E-4,0.0,0.0514707418102,24.0050024695,5298.45,23.963587963,2097.85786383,218.238095238,156.0,0.0468781303576,976.864933489,18.551485136,9.98807863801E-6,5298.45,5848.55,0.0116496413823,52.0,0.00456422516844,107.5,158.410993181,5048.61904762,0.00171078072417,9.56313844816E-4,0.00843197640276,9.80525486736E-5,0.00279186501732,241.999142862,0.626345143909,18.2680810819,9.08085991664E15,2.60812866768E-4,0.00668424393593,78.4832660973,0.0291564207445,5579.04761905,228.4,52.0,18,38.925006825,97.4545454545,0.799226484903,0.00100982404319,367.47250639,30.9808431686,2.08058295621E14,7.26269178888E-4,3.95909111314,0.00116279069767,15.0,25.8188598283,0.0199275505194,2.22614585164E-6
114,Ian_Wells,4.0,0.0336794677151,2.0,0.0,369.6,4.0,31.0,1.05567081103E19,1.25570292039E-5,0.0235218901929,1.10112144897E-4,0.0,0.0420985952971,0.136695910001,461.0,0.0,210.942533029,85.0,4.0,0.0389616406436,180.366747685,6.31699007599,1.39008477598E-7,461.0,715.25,0.00234731580091,4.0,0.00156487720061,19.0,35.0,369.6,8.77630054266E-5,1.73875244512E-4,0.00185113247977,3.92923510998E-7,0.0,13.0,0.104990860899,5.45359206079,3.01856177283E-4,0.0,1.15537340054E-4,32.8042013889,0.0127749270648,573.0,105.75,4.0,4,18.3333333333,7.0,0.0710176592019,4.16832202506E-4,78.75,45.0280004797,64.5920778239,0.0,0.0,1.73875244512E-4,2.0,0.176990790597,0.0166320880671,3.19355430427E-8
115,douard_Thuleau,469.0,0.0368392831604,18.0384615385,0.00907371589364,3481.27027027,55.0,91410.0,3.82341968904E30,5.7092284639E14,0.0559909912102,1.50646761923E-4,0.0110845468376,0.038863605886,713.140088146,3575.44444444,7.1822337963,2511.27249871,165.432432432,384.0,0.0353065188406,2066.61895429,13.2968143458,4.68654356901E-6,3575.44444444,3583.77777778,0.0513366659422,91.0,0.0509019778309,252.5,299.718575402,3481.27027027,0.00714438499321,0.00169528363399,0.0222116047694,5.03701506632E-5,0.00205244838477,306.250436932,11.451345373,13.4249669727,1.69427232048E15,0.0321234514236,0.0125423907156,256.375789439,0.0186211970771,3499.59459459,169.305555556,91.0,23,73.4801653878,144.058823529,1.22001979925,9.72595048205E-4,703.839805487,23.7646202763,5.36110019451E15,0.00804231652536,39.3973901193,0.00171701803956,26.0,45.4202364783,0.017541317343,5.3293144359E-6
116,Jesse_Andrews,79.0,0.0430703135209,15.8,0.0107459018471,11407.5555556,8.0,412.0,2.54747810114E20,0.0,0.0311429952429,2.85927586766E-4,0.00121712671158,0.0443082264407,0.973939420224,12811.25,5.96850694444,211.501615356,269.777777778,20.0,0.040389781138,454.23587963,25.7744407778,2.89515526657E-6,12811.25,11435.625,0.0,178.0,4.3468811128E-4,51.5,82.7380952381,11407.5555556,0.00193514318126,4.78156922408E-4,0.0,2.93175400278E-6,0.0,29.0,0.208915467654,24.6661695803,0.0,0.00334709845686,0.00100920089836,99.8554753086,0.0166945673909,10173.7777778,302.875,178.0,8,28.8807117237,20.5,1.44746937375,6.80382342548E-4,187.55,61.8551261536,217174.738609,1.02838156357E-12,9.32587340685E-15,2.93414475114E-4,5.0,8.34538392666,0.0187632992887,2.25048941111E-7
117,Mark_McLoughlin,7064.0,0.00918030533775,6.63909774436,0.00534188004029,917.558441558,1001.0,1.7356943E7,1.18527271622E34,6.70752498284E21,0.0167249657188,5.58783013109E-5,0.171006302978,0.00978875206249,12570.9334607,878.862745098,161.658020833,828.624737677,53.6558441558,1888.0,0.00898148864194,10542.4811932,14.8706373487,1.30390636889E-5,878.862745098,972.437908497,0.075027168007,6838.0,0.0803738317757,844.5,1218.86375661,917.558441558,0.076379258628,0.164312106064,0.0367118745889,9.67035644602E-5,0.127091594038,1524.21805791,22.0308847441,14.8171857928,4.69078234892E17,0.121973484025,0.0377807766625,1108.26128342,0.0130243670302,1011.99350649,47.0522875817,6838.0,23,665.958583621,42.9386281588,13.0138365714,2.87719747425E-4,2823.35941959,56.9606042183,1.32885841619E21,0.00586693352642,446.255364559,0.158976309498,1064.0,15128.7016294,0.00409327328999,3.3541695379E-6
118,Jian_Wen,656.0,0.0444194839386,14.9090909091,0.0199097736995,2999.18421053,73.0,570979.0,2.16910285383E24,1.46012864733E15,0.0673458387346,2.23006126055E-4,0.0,0.0427072100949,596.087865353,3075.59459459,35.0202083333,3004.37906409,152.789473684,427.0,0.0388221542073,2376.92521261,18.3028833433,1.29844769525E-5,3075.59459459,3560.86486486,3.91219300152E-4,172.0,2.60812866768E-4,246.5,375.050121594,2999.18421053,0.00427866004228,8.6937622256E-5,0.00108110356643,1.15542508969E-4,4.02258998216E-5,361.213703438,1.59067668788,18.2135730161,2.22943763304E9,0.0,0.00131368957059,290.881774668,0.0222204930228,3484.42105263,155.72972973,172.0,23,153.251020853,135.588235294,2.11253870048,8.74229463595E-4,863.506285341,26.8432496516,1.0266139512E12,0.00686827490109,27.323387449,0.0,44.0,161.068052485,0.0178819955347,4.48533434673E-6
119,Ed_Bak,114.0,0.022994263628,57.0,0.0,11005.25,8.0,90.0,3.35131253224E17,95.3854929041,0.0545389865748,6.62705414225E-4,0.0,0.100257274723,1.35877415845,12576.0,0.0,2830.57812953,268.875,18.0,0.0929805277495,417.833054012,20.3417369982,3.84047337587E-6,12576.0,12865.7142857,5.21625733536E-4,10.0,7.82438600304E-4,118.0,164.111111111,11005.25,2.62410465428E-4,0.0,0.00671054778984,3.77054934204E-6,0.0,27.6666666667,0.538526672635,24.9240198734,0.0,0.0,0.00152430631022,45.752986846,0.022023461602,11271.75,307.0,10.0,7,9.27095557556,133.5,1.25228180017,0.00157962918825,371.733333333,2.12608443403,7.53624870856E10,0.0,3.0224548768,0.0,2.0,4.32138422154,0.0450410653033,2.88624011462E-7
120,Kravchenko_Pavel,59.0,0.0269675217115,11.8,0.0105838637077,9808.66666667,8.0,679.0,3.05508566599E19,0.0,0.071366627141,1.87053961846E-4,0.0113018908933,0.0538313616378,0.394233025026,11034.625,7.09969907407,5432.28758223,238.777777778,21.0,0.0497987454432,68.4312951389,28.1151762059,2.97249507328E-6,11034.625,11622.75,0.0093023255814,1.0,0.00312975440122,67.5,76.6277777778,9808.66666667,0.00442421424304,0.00182569006738,5.19781602155E-4,1.44024187871E-5,8.12735044424E-4,57.75,0.0668556176228,26.3023788497,0.0,0.0151271462725,0.00192305882917,22.810431713,0.0173782670913,10337.8888889,268.0,1.0,7,14.4209448951,174.6,0.182562842265,4.57405936449E-4,173.918333333,6.93960910525,4.69369563217E8,1.1457666943E-8,0.845033213362,9.45446642034E-4,5.0,1.13375119168,0.0249983548247,5.17329459242E-7
121,Darren_Worrall,1.0,0.0,1.0,0.0,3419.5,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22093695778,6838.0,0.0,8691.79588296,532.5,0.0,0.0,100.35587037,6.63909774436,0.0,6838.0,7064.0,0.0,1.0,0.0,5.5,6.16666666667,3419.5,0.0,0.0,0.0,0.0,0.0,8.0,1.11046847889,3.81954887218,0.0,0.0,0.0,8.10789707977,0.0,3532.5,1064.0,1.0,1,2.16666666667,315.0,0.0866339115612,0.0,14.45,0.0,0.0,0.0,0.0,0.0,1.0,0.173267823122,0.0,0.0
